service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
245073_115750,0,0,0,0,1,0,0,20240614,20240927
245073_115751,0,0,0,0,1,0,0,20241011,20241213
245073_116217,0,0,0,0,1,0,0,20240330,20240430
245073_116218,0,0,0,0,1,0,0,20240510,20240628
245073_116219,0,0,0,0,1,0,0,20241004,20241031
245073_116220,0,0,0,0,1,0,0,20241108,20241213
245073_116222,0,0,0,0,1,0,0,20240330,20240607
245073_116223,0,0,0,0,1,0,0,20240614,20241213
245073_116777,1,1,1,1,1,1,1,20240419,20240419
245073_116778,0,0,0,0,1,0,0,20240426,20240503
245073_116779,0,0,0,0,1,0,0,20240517,20240607
245073_116780,0,0,0,0,1,0,0,20240614,20240927
245073_116781,0,0,0,0,1,0,0,20241011,20241213
245073_116784,0,0,0,0,0,0,1,20240421,20240512
245073_116785,0,0,0,0,0,0,1,20240520,20240602
245073_116786,0,0,0,0,0,0,1,20240609,20241208
245073_116850,1,1,1,1,1,1,1,20240330,20240608
245073_116851,1,1,1,1,1,1,1,20240609,20241214
245073_116853,0,0,0,0,0,1,1,20240330,20240608
245073_116854,0,0,0,0,0,1,1,20240609,20241214
245073_117268,1,1,1,1,1,1,1,20240330,20240608
245073_117269,1,1,1,1,1,1,1,20240609,20241214
245073_117271,1,1,1,1,1,1,1,20240330,20240608
245073_117273,1,1,1,1,1,1,1,20240515,20240517
245073_117274,1,1,1,1,1,1,1,20240609,20241214
245073_117280,1,1,1,1,1,1,1,20240330,20240608
245073_117281,1,1,1,1,1,1,1,20240609,20241214
245073_117287,1,1,1,1,1,1,1,20240330,20241214
245073_117289,1,1,1,1,1,1,1,20240330,20240608
245073_117290,1,1,1,1,1,1,1,20240609,20241214
245073_117297,1,1,1,1,1,1,1,20240330,20240608
245073_117298,1,1,1,1,1,1,1,20240609,20241214
245073_117309,1,1,1,1,1,1,1,20240330,20240608
245073_117310,1,1,1,1,1,1,1,20240609,20241214
245073_117314,1,1,1,1,1,0,0,20240330,20240607
245073_117315,1,1,1,1,1,0,0,20240610,20241213
245073_117317,1,1,1,1,1,1,1,20240330,20240608
245073_117320,1,1,1,1,1,1,1,20240609,20241214
245073_117322,0,0,0,0,0,1,1,20240330,20240608
245073_117323,1,1,1,1,1,0,0,20240330,20240607
245073_117324,1,1,1,1,1,1,1,20240609,20241214
245073_117334,1,1,1,1,1,1,1,20240330,20240608
245073_117335,1,1,1,1,1,1,1,20240609,20241214
245073_117338,0,0,0,0,0,1,1,20240330,20240608
245073_117339,1,1,1,1,1,0,0,20240330,20240607
245073_117340,1,1,1,1,1,1,1,20240609,20241214
245073_117342,1,1,1,1,1,1,1,20240330,20240608
245073_117343,1,1,1,1,1,1,1,20240609,20241214
245073_117345,1,1,1,1,1,1,1,20240330,20240608
245073_117346,1,1,1,1,1,1,1,20240609,20241214
245073_117348,1,1,1,1,1,1,1,20240330,20240608
245073_117349,1,1,1,1,1,1,1,20240609,20241214
245073_117354,1,1,1,1,1,1,1,20240330,20240608
245073_117355,1,1,1,1,1,1,1,20240609,20241214
245073_117360,1,1,1,1,1,1,1,20240330,20240608
